
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 70  0.01281  6.08960e-01 | 71  0.01579  5.67104e-01 | 72  0.01851  4.20465e-01
 73  0.02104  2.12092e-01 | 74  0.02370  4.15689e-02 | 75  0.02668 -1.78543e-02
 76  0.02974  1.59831e-02 | 77  0.03240  8.71283e-02 | 78  0.03436  1.63990e-01
 79  0.03548  2.26749e-01 | 80  0.03570  2.60385e-01 | 81  0.03512  2.62699e-01
 82  0.03379  2.40390e-01 | 83  0.03171  2.00649e-01 | 84  0.02885  1.57649e-01
 85  0.02530  1.34653e-01 | 86  0.02137  1.65948e-01 | 87  0.01763  2.94729e-01
 88  0.01436  4.76789e-01 | 89  0.01146  5.74800e-01 | 90  0.00894  5.23308e-01
 91  0.00699  3.66292e-01 | 92  0.00572  1.78623e-01 | 93  0.00516  1.78062e-02
 94  0.00542 -8.74501e-02 | 95  0.00662 -1.41924e-01 | 96  0.00860 -1.84720e-01
 97  0.01064 -2.55962e-01 | 98  0.01191 -3.43981e-01 | 99  0.01223 -4.12235e-01
100  0.01234 -4.71386e-01 |101  0.01308 -5.21785e-01 |102  0.01495 -4.80055e-01
103  0.01816 -4.22406e-01 |104  0.01876 -1.41741e+00 |105  0.01293 -3.79730e+00
106  0.01283 -4.45089e+00 |107  0.02092 -3.36517e+00 |108  0.00944 -6.47646e+00
109  0.02131 -5.30681e+00 |110  0.01576 -5.86140e+00 |111  0.01953 -4.79646e+00
112  0.01748 -4.54164e+00 |113  0.02034 -2.41526e+00 |114  0.01723 -1.89508e+00
115 -0.00710  1.76591e-01 |116 -0.05941 -1.20161e+00 |117 -0.07354 -5.91411e-01
118 -0.07004 -2.95218e-01 |119 -0.04572  1.12942e-01 |120  0.05559  5.81135e-01
121  0.01239  1.84398e+00 |122  0.01280  1.65041e+00 |123 -0.03074  2.07159e+00
124 -0.06968  1.58671e+00 |125 -0.01303  1.07014e+00 |126 -0.00402  1.13542e-01
127 -0.03514 -3.50928e-01 |128  0.02324  1.27777e+00 |129  0.06439  1.82766e+00
130  0.01585  4.48834e+00 |131  0.07429  6.93912e-01 |132  0.00298  4.68130e-01
133  0.12829  8.97283e-01 |134 -0.00841 -2.58076e-01 |135 -0.04895 -2.25224e-01
136 -0.06062 -9.31778e-01 |137 -0.02336  2.05272e-02 |138  0.09430  1.22855e+00
139  0.03109  2.60795e-01 |140  0.01493 -3.00312e-01 |141 -0.02772  2.61096e-01
142 -0.01549  6.36198e-01 |143 -0.00530  1.74987e-01 |144 -0.00038  9.54113e-03

Initial statistics: 174 variables; iteration 0; function evaluation 0; phase 3
Function value 7.2674008e+03; maximum gradient component mag 1.8309e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42197 -2.24748e+00 |  2  0.37113  9.74209e+00 |  3 -0.12592 -9.12045e+00
  4 -0.01315  5.29873e+00 |  5 -0.70913 -1.57850e+00 |  6 -0.60422  3.76757e+00
  7  0.37612  5.92256e-01 |  8 -0.18539 -2.17613e+00 |  9  0.03380  6.63195e+00
 10 -0.60951  2.63853e+00 | 11 -0.62337 -2.03564e+00 | 12 -0.11335 -4.37446e+00
 13 -0.00974  8.37936e-02 | 14 -0.00996  8.37364e-02 | 15 -0.01018  8.35975e-02
 16 -0.01039  8.33923e-02 | 17 -0.01060  8.31648e-02 | 18 -0.01081  8.29271e-02
 19 -0.01101  8.27090e-02 | 20 -0.01119  8.25580e-02 | 21 -0.01137  8.25310e-02
 22 -0.01154  8.26971e-02 | 23 -0.01170  8.31358e-02 | 24 -0.01183  8.39342e-02
 25 -0.01196  8.51786e-02 | 26 -0.01206  8.69440e-02 | 27 -0.01215  8.92921e-02
 28 -0.01221  9.22854e-02 | 29 -0.01225  9.60191e-02 | 30 -0.01226  1.00634e-01
 31 -0.01225  1.06318e-01 | 32 -0.01221  1.13247e-01 | 33 -0.01214  1.21581e-01
 34 -0.01203  1.31443e-01 | 35 -0.01189  1.42898e-01 | 36 -0.01171  1.55952e-01
 37 -0.01149  1.70551e-01 | 38 -0.01123  1.86621e-01 | 39 -0.01092  2.04053e-01
 40 -0.01058  2.22585e-01 | 41 -0.01019  2.42295e-01 | 42 -0.00977  2.62893e-01
 43 -0.00931  2.84071e-01 | 44 -0.00882  3.05449e-01 | 45 -0.00831  3.26550e-01
 46 -0.00778  3.46870e-01 | 47 -0.00726  3.65989e-01 | 48 -0.00674  3.83477e-01
 49 -0.00624  3.98978e-01 | 50 -0.00578  4.12157e-01 | 51 -0.00536  4.22651e-01
 52 -0.00499  4.30070e-01 | 53 -0.00469  4.34235e-01 | 54 -0.00445  4.34928e-01
